iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AUS,Oceania,Australia,01/03/2021,28986,8,7,909,0,0,1124.002,0.31,0.271,35.249,0,0,1.3,1,0.039,24,0.931,,,,,24226,14373691,557.374,0.939,40483,1.57,0.0002,5783.3,tests performed,41907,41895,12,,7277,5588,0.16,0.16,0,,217,5587,0.022,50.46,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,01/03/2021,460849,1409,2029.286,8574,13,25.286,50961.554,155.81,224.402,948.129,1.438,2.796,1.14,296,32.732,1369,151.387,,,,,95564,15003345,1659.098,10.568,226055,24.998,0.009,111.4,tests performed,,,,,,20882,,,,,2309,18200,0.201,75.93,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,01/03/2021,234662,125,208.714,3223,3,3,22953.546,12.227,20.415,315.259,0.293,0.293,1.37,,,,,,,,,,,,,,,,,,293360,293360,,,,9929,2.87,2.87,,,971,9929,0.097,67.59,10223344,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,,,,
BHS,North America,Bahamas,01/03/2021,8519,0,6.857,179,0,0,21463.088,0,17.276,450.979,0,0,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.98,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,01/03/2021,123039,645,644.143,452,3,3.286,70376.567,368.931,368.441,258.538,1.716,1.879,0.95,,,,,,,,,15019,3092326,1768.767,8.591,14020,8.019,0.0459,21.8,units unclear,,301103,,,,7712,,17.22,,,4411,3269,0.187,55.56,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,,,,
BGD,Asia,Bangladesh,01/03/2021,546801,585,440.571,8416,8,8.571,3287.971,3.518,2.649,50.606,0.048,0.052,1.21,,,,,,,,,13570,4054668,24.381,0.082,14117,0.085,0.0312,32,tests performed,,,,,,131123,,,,,788,131123,0.079,81.02,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,01/03/2021,3115,47,46.286,36,3,0.714,10826.95,163.36,160.877,125.127,10.427,2.483,0.88,,,,,,,,,,,,,,,,,,41125,41125,,,2510,3148,14.29,14.29,,,10942,3148,1.094,70.37,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,01/03/2021,288267,961,1258.714,1985,9,9.143,30527.487,101.77,133.298,210.212,0.953,0.968,0.93,,,,,,,,,,4908397,519.799,,15570,1.649,0.0808,12.4,tests performed,,,,,,455,,,,,48,0,0,42.59,9442867,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,,,,
BEL,Europe,Belgium,01/03/2021,772294,783,2385.714,22106,29,26.143,66392.007,67.312,205.093,1900.392,2.493,2.247,1.07,413,35.504,1937,166.519,,,1041,89.492,43505,9544109,820.481,3.74,41627,3.579,0.065,15.4,tests performed,891276,546097,346236,,13866,18300,7.66,4.69,2.98,,1573,12979,0.112,62.96,11632334,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,01/03/2021,12313,20,8.286,315,0,0.143,30408.851,49.393,20.463,777.941,0,0.353,0.74,,,,,,,,,,,,,,,,,,,,,,,208,,,,,514,208,0.051,73.15,404915,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,01/03/2021,5434,0,0,70,0,0,436.43,0,0,5.622,0,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,12451031,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BMU,North America,Bermuda,01/03/2021,707,2,1.143,12,0,0,11386.33,32.21,18.406,193.262,0,0,,,,,,,,,,,,,,,,,,,21387,,,,,616,34.44,,,,9921,310,0.499,47.22,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,
BTN,Asia,Bhutan,01/03/2021,867,0,0.143,1,0,0,1111.681,0,0.183,1.282,0,0,0.36,,,,,,,,,1038,529684,679.169,1.331,1982,2.541,0.0001,13860.1,samples tested,,,,,,,,,,,,,,43.06,779900,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,01/03/2021,249767,757,941.571,11666,17,28,21107.779,63.974,79.572,985.892,1.437,2.366,0.9,,,,,,,,,6045,725043,61.273,0.511,6719,0.568,0.1401,7.1,tests performed,29813,22212,7601,,0,2757,0.25,0.19,0.06,,233,1702,0.014,19.44,11832936,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BES,North America,Bonaire Sint Eustatius and Saba,01/03/2021,196,0,0,3,0,0,7411.609,0,0,113.443,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26445,,,,,,,,,,,,,77.79,,,,,
BIH,Europe,Bosnia and Herzegovina,01/03/2021,130979,0,331.143,5071,0,7.857,40135.022,0,101.47,1553.873,0,2.408,1.43,,,,,,,,,,,,,1261,0.386,0.2626,3.8,tests performed,,,,,,574,,,,,176,413,0.013,42.59,3263459,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,01/03/2021,30727,2356,429.429,332,22,4.571,12817.657,982.797,179.135,138.493,9.177,1.907,1.18,,,,,,,,,,825247,344.249,,2809,1.172,0.1529,6.5,tests performed,,,,,,,,,,,,,,62.04,2397240,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,01/03/2021,10598476,40385,56116.143,256007,828,1225.143,49527.107,188.721,262.233,1196.331,3.869,5.725,1.12,,,,,,,,,39828,34765380,162.46,0.186,83014,0.388,,,tests performed,8841027,6806293,2034734,,375624,220567,4.13,3.18,0.95,,1031,114774,0.054,67.13,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
VGB,North America,British Virgin Islands,01/03/2021,153,0,5.571,1,0,0,5029.09,0,183.132,32.87,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30423,207.973,,,,,,,13.67,,,,,79.07,,,,,
BRN,Asia,Brunei,01/03/2021,186,0,0.143,3,0,0,421.261,0,0.324,6.795,0,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,441532,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,01/03/2021,249626,2588,1576.429,10308,117,53.571,36195.228,375.254,228.579,1494.638,16.965,7.768,1.31,394,57.129,4744,687.87,,,,,2530,1665229,241.455,0.367,10864,1.575,0.1451,6.9,tests performed,223539,184764,38775,,11094,13211,3.24,2.68,0.56,,1916,11665,0.169,53.7,6896655,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,01/03/2021,12030,48,26.143,143,1,0.571,559.61,2.233,1.216,6.652,0.047,0.027,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,21497097,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BDI,Africa,Burundi,01/03/2021,2217,8,26.143,3,0,0,180.899,0.653,2.133,0.245,0,0,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81,12255429,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,01/03/2021,844,24,35.857,,,,49.804,1.416,2.116,,,,1.32,,,,,,,,,,,,,,,,,,87069,84736,2333,,17292,7099,0.51,0.5,0.01,,419,6765,0.04,56.48,16946446,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,01/03/2021,35714,0,280.714,551,0,4,1311.845,0,10.311,20.239,0,0.147,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,27224262,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,01/03/2021,873539,3511,2928.571,22484,25,36.429,22946.858,92.23,76.93,590.629,0.657,0.957,0.98,602,15.814,2114,55.532,,,,,101453,24545470,644.781,2.665,103190,2.711,0.0284,35.2,tests performed,1977483,1428486,548984,13,59785,55941,5.19,3.75,1.44,0,1470,42955,0.113,75.46,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,01/03/2021,15432,32,51.429,147,0,0.429,27463.913,56.95,91.526,261.612,0,0.763,1.12,,,,,,,,,696,,,1.239,,,,,tests performed,,,,,,,,,,,,,,59.26,561901,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,01/03/2021,447,3,2.286,2,0,0,6722.007,45.114,34.373,30.076,0,0,,,,,,,,,,,,,,,,,,,,,,,,528,,,,,7940,545,0.82,,66498,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,01/03/2021,5004,0,0.429,63,0,0,1017.076,0,0.087,12.805,0,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,4919987,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,,,,
TCD,Africa,Chad,01/03/2021,3986,13,16.857,140,0,0.714,235.649,0.769,0.997,8.277,0,0.042,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,16914985,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,01/03/2021,829770,5145,3823,20660,88,76.286,43189.38,267.796,198.986,1075.349,4.58,3.971,1.11,1675,87.183,,,770,40.078,2386,124.191,56754,9415629,490.082,2.954,47382,2.466,0.0807,12.4,tests performed,3510571,3453787,56784,,137586,70434,18.27,17.98,0.3,,3666,70307,0.366,79.17,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHN,Asia,China,01/03/2021,89923,11,10.143,4636,0,0,62.264,0.008,0.007,3.21,0,0,0.95,,,,,,,,,,,,,,,,,,,,,,,668496,,,,,463,,,56.02,1444216102,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,01/03/2021,2255260,3570,3656.714,59866,100,127.429,43991.476,69.637,71.328,1167.756,1.951,2.486,0.88,,,,,,,,,32140,11454722,223.438,0.627,39173,0.764,0.1,10,tests performed,149133,,,,18555,14852,0.29,,,,290,,,81.02,51265841,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,01/03/2021,3578,7,8.571,144,0,0,4027.211,7.879,9.648,162.079,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,01/03/2021,8820,0,27.857,128,0,0.143,1559.126,0,4.924,22.627,0,0.025,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,5657017,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
CRI,North America,Costa Rica,01/03/2021,205086,745,344.571,2812,12,4.286,39907.353,144.968,67.05,547.183,2.335,0.834,1.05,,,,,,,,,2207,582104,113.271,0.429,3252,0.633,0.08,12.5,people tested,149812,103695,46117,,,6947,2.92,2.02,0.9,,1352,6648,0.129,56.48,5139053,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,01/03/2021,32791,37,107.429,193,1,0.714,1212.074,1.368,3.971,7.134,0.037,0.026,1.3,,,,,,,,,894,424625,15.696,0.033,2641,0.098,0.0407,24.6,tests performed,0,0,,,,,0,0,,,,,,25.93,27053629,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,01/03/2021,243064,91,435.286,5537,11,12.571,59550.325,22.295,106.644,1356.557,2.695,3.08,1.17,,,791,193.794,,,,,2294,1346946,330,0.562,5750,1.409,0.0757,13.2,people tested,213068,153085,59983,,,6703,5.22,3.75,1.47,,1642,6396,0.157,49.07,4081657,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,01/03/2021,50590,811,747,324,2,3.429,4470.069,71.659,66.004,28.628,0.177,0.303,1,,,,,,,,,17577,2428864,214.611,1.553,18348,1.621,0.0407,24.6,tests performed,,,,,,,,,,,,,,79.63,11317498,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUW,North America,Curacao,01/03/2021,4731,1,5.286,22,0,0,28708.221,6.068,32.074,133.498,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,01/03/2021,35382,447,230.143,232,0,0.286,39488.619,498.881,256.854,258.927,0,0.319,1.42,14,15.625,76,84.821,,,,,38001,2338161,2609.54,42.412,35823,39.981,0.0064,155.7,tests performed,,,,,,3129,,,,,3492,2463,0.275,75,896005,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,01/03/2021,1240051,4571,11838.714,20469,130,162.714,115627.29,426.218,1103.889,1908.611,12.122,15.172,1.12,1588,148.071,8341,777.748,675,62.94,6364,593.405,127664,7813850,728.594,11.904,87553,8.164,0.137,7.3,tests performed,693745,444790,248955,,23053,16357,6.47,4.15,2.32,,1525,12284,0.115,75,10724553,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,01/03/2021,25962,49,116.857,707,0,1,281.041,0.53,1.265,7.653,0,0.011,1.02,,,,,,,,,255,,,0.003,379,0.004,0.3083,3.2,samples tested,,,,,,,,,,,,,,32.41,92377986,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
DNK,Europe,Denmark,01/03/2021,211692,497,523.571,2365,4,3.143,36415.105,85.494,90.064,406.826,0.688,0.541,1.09,44,7.569,243,41.801,,,195,33.544,168917,17090341,2939.868,29.057,143553,24.694,0.0036,274.2,tests performed,590803,424209,166582,12,20152,17406,10.16,7.3,2.87,0,2994,16136,0.278,62.96,5813302,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
DJI,Africa,Djibouti,01/03/2021,6087,21,8.714,63,0,0,6073.656,20.954,8.695,62.862,0,0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,1002197,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,01/03/2021,142,0,1.143,,,,1967.522,0,15.835,,,,0.18,,,,,,,,,,,,,,,,,,7202,7202,,,,706,9.98,9.98,,,9782,706,0.978,29.63,72172,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,,,,
DOM,North America,Dominican Republic,01/03/2021,239998,381,588,3106,6,8.286,21910.194,34.783,53.68,283.557,0.548,0.756,0.79,,,,,,,,,1101,1211817,110.631,0.101,3961,0.362,0.1484,6.7,samples tested,60000,60000,,,,5956,0.55,0.55,,,544,5956,0.054,70.37,10953714,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,
ECU,South America,Ecuador,01/03/2021,286367,212,1628.429,15832,21,40.714,16008.464,11.851,91.032,885.039,1.174,2.276,1.05,,,,,,,,,1127,957392,53.52,0.063,5190,0.29,0.3138,3.2,people tested,77022,70478,6544,,475,4272,0.43,0.39,0.04,,239,3911,0.022,63.89,17888474,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,,,,
EGY,Africa,Egypt,01/03/2021,183010,586,605.143,10736,48,47.429,1755.351,5.621,5.804,102.975,0.46,0.455,0.98,,,,,,,,,,,,,,,,,,,,,,,2915,,,,,28,2915,0.003,54.63,104258327,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,
SLV,North America,El Salvador,01/03/2021,60337,156,157.429,1861,7,7.714,9256.271,23.932,24.151,285.495,1.074,1.183,0.93,,,,,,,,,2423,766865,117.644,0.372,2463,0.378,0.064,15.6,tests performed,,,,,,1731,,,,,266,1731,0.027,46.3,6518500,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,,,,
GNQ,Africa,Equatorial Guinea,01/03/2021,6095,90,42.429,92,1,0.429,4203.764,62.074,29.263,63.453,0.69,0.296,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449891,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,
ERI,Africa,Eritrea,01/03/2021,2866,19,23.286,7,0,0,795.788,5.276,6.466,1.944,0,0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59,3601462,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
EST,Europe,Estonia,01/03/2021,66628,1028,1169,598,9,8.286,50278.149,775.739,882.139,451.257,6.791,6.252,1.26,48,36.221,566,427.109,,,,,6597,949776,716.71,4.978,6339,4.783,0.1844,5.4,tests performed,116152,81040,36913,1156,3466,3496,8.76,6.12,2.79,0.09,2638,2383,0.18,41.67,1325188,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,,,,
SWZ,Africa,Eswatini,01/03/2021,17025,11,31.143,652,0,1,14521.878,9.383,26.564,556.139,0,0.853,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,1172369,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,
ETH,Africa,Ethiopia,01/03/2021,159972,900,918.714,2373,8,11.429,1357.118,7.635,7.794,20.131,0.068,0.097,1.14,,,,,,,,,5840,2140427,18.158,0.05,6231,0.053,0.1474,6.8,tests performed,,,,,,,,,,,,,,37.96,117876226,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
FRO,Europe,Faeroe Islands,01/03/2021,658,0,0,1,0,0,13414.062,0,0,20.386,0,0,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,2854,5,0.01,59.26,49053,35.308,,,,,,,,,,,,80.67,,,,,
FLK,South America,Falkland Islands,01/03/2021,54,0,0,,,,15306.122,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,3968,14,0.397,,3528,,,,,,,,,,,,,81.44,,,,,
FJI,Oceania,Fiji,01/03/2021,59,0,0.429,2,0,0,65.345,0,0.475,2.215,0,0,,,,,,,,,,155,30762,34.07,0.172,220,0.244,,,tests performed,,,,,,,,,,,,,,49.07,902899,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
FIN,Europe,Finland,01/03/2021,58517,422,570.143,785,1,4,10546.718,76.058,102.759,141.483,0.18,0.721,1.16,39,7.029,239,43.076,,,,,18355,3394466,611.796,3.308,19354,3.488,0.031,32.3,tests performed,,,,,,14941,,,,,2693,13822,0.249,52.31,5548361,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
FRA,Europe,France,01/03/2021,3801913,4703,21582.714,86815,375,312.857,56389.799,69.755,320.114,1287.636,5.562,4.64,1.05,3544,52.564,25430,377.177,1987,29.471,9632,142.861,404245,53404730,792.096,5.996,294655,4.37,0.066,15.2,people tested,4864483,3215075,1649399,9,118543,122561,7.21,4.77,2.45,0,1818,64526,0.096,70.37,67422000,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
PYF,Oceania,French Polynesia,01/03/2021,18414,27,8.571,139,0,0.143,65174.457,95.564,30.338,491.976,0,0.506,,,,,,,,,,,,,,,,,,,9692,6596,3096,,,280,3.43,2.33,1.1,,991,120,0.042,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,
GAB,Africa,Gabon,01/03/2021,14849,285,137.857,87,4,1.571,6516.066,125.064,60.495,38.178,1.755,0.69,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,2278829,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
