iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BTN,Asia,Bhutan,01/03/2022,13137,435,420.143,6,0,0,16844.467,557.764,538.714,7.693,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,01/03/2022,893512,117,342.857,21441,3,5.857,75510.592,9.888,28.975,1811.976,0.254,0.495,,,,,,,,,,1874,3884359,328.267,0.158,4244,0.359,0.0808,12.4,tests performed,12588867,6930515,5604495,1048818,,14044,106.39,58.57,47.36,8.86,1187,4815,0.041,,11832936,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BES,North America,Bonaire Sint Eustatius and Saba,01/03/2022,7593,11,7.286,31,0,0,287124.22,415.958,275.504,1172.244,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26445,,,,,,,,,,,,,77.79,,,,,
BIH,Europe,Bosnia and Herzegovina,01/03/2022,371381,179,307.286,15470,11,15.429,113799.806,54.85,94.16,4740.369,3.371,4.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3263459,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,01/03/2022,263950,0,185.429,2619,0,0.714,110105.788,0,77.351,1092.506,0,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397240,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,01/03/2022,28818850,22279,65271.286,649922,246,598.143,134671.651,104.111,305.015,3037.112,1.15,2.795,,,,,,,,,,,,,,19430,0.091,,,tests performed,392925626,177836868,155071690,65073212,161992,814209,183.62,83.1,72.47,30.41,3805,173043,0.081,,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
VGB,North America,British Virgin Islands,01/03/2022,6085,0,5,62,0,0,200013.148,0,164.349,2037.932,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30423,207.973,,,,,,,13.67,,,,,79.07,,,,,
BRN,Asia,Brunei,01/03/2022,67762,4220,3816.143,127,2,2.143,153470.19,9557.631,8642.959,287.635,4.53,4.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441532,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,01/03/2022,1093920,2641,2394.286,35637,56,56,158616.025,382.939,347.166,5167.288,8.12,8.12,,,,,,,,,,18293,9206636,1334.942,2.652,17471,2.533,0.137,7.3,tests performed,4302819,,2046215,689934,2316,2883,62.39,,29.67,10,418,,,,6896655,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,01/03/2022,20751,0,0,375,0,0,965.293,0,0,17.444,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497097,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
