iso_code,location,continent,total_cases_per_million2021,total_cases_per_million2022,growth_cases_per_million,total_deathsMar21,total_deathsMar22,growth_deaths,total_cases2021,total_cases2022,dtc_Ratio2022
MNE,Montenegro,Europe,4015.258,366790.277,90.34911804,1,2682,2681,20,230363,1.164249467
MSR,Montserrat,North America,12954.044,32925.115,1.54168621,8637,2,-0.999768438,483766,164,1.219512195
MAR,Morocco,Africa,1853.276,31092.184,15.77687727,653,15994,23.49310873,59607,1161131,1.37745009
MOZ,Mozambique,Africa,2589.424,6997.565,1.702363537,3199,2192,-0.314785871,141916,225063,0.973949516
MMR,Myanmar,Asia,15086.127,10769.566,-0.286127844,428,19372,44.26168224,39033,590237,3.282071439
NAM,Namibia,Africa,9240.665,60766.949,5.576036357,2777,4007,0.442924019,274216,157225,2.54857688
NPL,Nepal,Asia,63965.934,32925.986,-0.485257481,15611,11938,-0.235282813,1098493,977076,1.221808744
NLD,Netherlands,Europe,201.237,378021.864,1877.490854,,21676,#DIV/0!,58,6491805,0.333897891
NCL,New Caledonia,Oceania,464.663,190328.815,408.6061339,26,300,10.53846154,2382,54856,0.546886393
NZL,New Zealand,Oceania,961.599,27879.367,27.9927163,173,56,-0.676300578,6445,142918,0.039183308
NIC,Nicaragua,North America,188.613,2701.28,13.32181239,172,224,0.302325581,4740,18105,1.237227285
NER,Niger,Africa,738.016,348.417,-0.527900479,1915,307,-0.839686684,156017,8756,3.5061672
NGA,Nigeria,Africa,55495.035,1204.206,-0.978300653,750391,3142,-0.99581285,33107299,254570,1.234238127
OWID_NAM,North America,,49465.564,156119.108,2.156117011,3144,1379439,437.7528626,103020,93137738,1.481074191
MKD,North Macedonia,Europe,,142960.376,#DIV/0!,,9027,#DIV/0!,,297738,3.031860226
NOR,Norway,Europe,13124.747,229997.133,16.52392888,623,1599,1.566613162,71735,1257079,0.127199643
OWID_OCE,Oceania,,1186.952,84272.811,69.99934201,1090,7869,6.219266055,51300,3642267,0.216046764
OMN,Oman,Asia,27148.725,73179.492,1.695503822,1577,4244,1.691185796,141808,382244,1.110285577
